,title,company,city,state,website
125,Data Scientist,Buzzfeed,New York,NY,http://indeed.com/rc/clk?jk=eb0c0492001e8924&fccid=131f8387a45b81d9
126,Consumer Banking Data Scientist,Suntrust,Atlanta,GA,http://indeed.com/rc/clk?jk=ee37221c6dabaeb7&fccid=3190112fd107265d
127,Data Analyst/Scientist,Veterans-Sourcing-Group,Weehawken,NJ,http://indeed.com/rc/clk?jk=fd14e2cacf083ccf&fccid=74ca688e740bb21a
128,Data Scientist,True-Religion-Brand-Jeans,Manhattan Beach,CA,http://indeed.com/rc/clk?jk=84509618694594bc&fccid=e22acb857975c215
129,DATA SCIENTIST,NA,Menlo Park,CA,http://indeed.com/rc/clk?jk=3ead91a21601b98c&fccid=a131b75d087cbeb0
130,Data Analyst; Applecart Advocacy,Applecart,New York,NY,http://indeed.com/rc/clk?jk=4e19e26877bfb63c&fccid=3d93143c99ff89a3
131,Junior Data Scientist,CGI-Group,Washington,DC,http://indeed.com/rc/clk?jk=149a503e8c386f28&fccid=ac83e3328adafc41
132,Employee Data Mgmt Specialist,NA,Columbia,MD,http://indeed.com/rc/clk?jk=f6379e15ed8ca95c&fccid=edae4285faf6c2f0
133,Machine Learning Engineer,Capital-One,New York,NY,http://indeed.com/rc/clk?jk=2add0f93e3e73277&fccid=c3f58176433e9b7a
134,Research Data Analyst Associate,Webinterpret,Remote,NA,http://indeed.com/rc/clk?jk=b2fd49f5fbbb6570&fccid=bc51f56762438d6f
135,Sr. Software Developer - Data Scientist,Google,New York,NY,http://indeed.com/rc/clk?jk=0021d52d35890db7&fccid=b45c4b5a9c9a7448
136,Data Scientist,Amazoncom,Palo Alto,CA,http://indeed.com/rc/clk?jk=770a4ef1705756bf&fccid=7623d3879fa9542a
137,Data Scientist,Billings-Clinic,Billings,MT,http://indeed.com/rc/clk?jk=060d465f11b20e93&fccid=9c59b4fd78140fd6
138,Data Scientist,NA,Clearwater,FL,http://indeed.com/rc/clk?jk=19fb33023f40f2dd&fccid=dacddaa4d49537d8
139,Statistician,Google,New York,NY,http://indeed.com/company/C3I-Solutions/jobs/Statistician-c3c877b5f43110a3?fccid=4e5e44c2e1a907a3
140,Python/Django Engineer,Uber,San Francisco,CA,http://indeed.com/rc/clk?jk=470018d256b036af&fccid=4d4038a17047da58
141,Data Scientist,First-Solar-Inc,Perrysburg,OH,http://indeed.com/rc/clk?jk=b543a8fc54dbbdb1&fccid=803e987332618dca
142,Senior Scientist Data Sciences,Cytel,West Chester,PA,http://indeed.com/rc/clk?jk=6f37f7b3a4243971&fccid=0bed8e17bc113980
143,Distinguished Data Scientist,Cubic-Corporation,Santa Clara,CA,http://indeed.com/rc/clk?jk=5847cb29e07df3d7&fccid=d8be85d73018fac8
144,Research Associate - Data Analytics,The-Climate-Corporation,Wilmington,DE,http://indeed.com/rc/clk?jk=e1223cd86c5ab436&fccid=d74b2038b113816f
145,Data & Research Analyst,NA,Nashville,TN,http://indeed.com/rc/clk?jk=b551537176136bc9&fccid=04606e6851860ea3
146,"Sr. Data Scientist, Service Operations",Huawei,Fremont,CA,http://indeed.com/rc/clk?jk=2492ae4616963c9e&fccid=b5435bdc4be466ce
147,Data Scientist,Agco-Corporation,New York,NY,http://indeed.com/rc/clk?jk=bda9580bc389fc7b&fccid=30483f79c3e7ba64
148,Title Data Scientist,NA,Seattle,WA,http://indeed.com/rc/clk?jk=7c388eca3cd47f2c&fccid=6ea1f570c7e6db70
149,Developer II (Data Analysis),Ford-Motor-Company,United States,NA,http://indeed.com/rc/clk?jk=68e7bdd4ba08ec0a&fccid=d20278fc46c90d65
150,Deep Learning Data Scientist,Facebook,San Francisco,CA,http://indeed.com/rc/clk?jk=054178c468bba76d&fccid=5527fa86119a4ea6
151,Statistical Analyst,Bechtel,Plano,TX,http://indeed.com/rc/clk?jk=6b7e4598f3b8f07a&fccid=97ae0680f1ab866d
152,Machine Learning Engineer - Intern,CGI-Group,New York,NY,http://indeed.com/rc/clk?jk=18a5fca421718f26&fccid=d2841a5c0380b93d
153,Data Engineer,Uber,New York,NY,http://indeed.com/rc/clk?jk=c5b4f9160bdc35ba&fccid=f766f8bfbc3effb7
154,Data Engineer Intern,Coyote-Logistics,Austin,TX,http://indeed.com/rc/clk?jk=99acd640d3b76c34&fccid=a74a0fbbfa36acbd
155,Machine Learning Engineer - Intern,Booz-Allen-Hamilton,New York,NY,http://indeed.com/rc/clk?jk=dab1d32f86f481dc&fccid=4e041af1d0af1bc8
156,Quantitative Analyst,NA,New York,NY,http://indeed.com/company/OCAPICA/jobs/Data-Research-Analyst-8ef4fab31f22f068?fccid=44ce08ec278b3ec5
157,Machine Learning Specialist,Kogentix,Plymouth Meeting,PA,http://indeed.com/rc/clk?jk=d96a31f0166cd4d5&fccid=66562a0c7f84ca9f
158,Data Scientist,Logmein-Inc,Boston,MA,http://indeed.com/rc/clk?jk=39d310218947563f&fccid=b665f01429fa556c
159,Data Research and Acceleration Analyst,Eos-USA,New York,NY,http://indeed.com/company/EOS-USA/jobs/Quantitative-Analyst-e8c36b2f8a230786?fccid=bd0b95d9e39d6ab0
160,Sr. Data Scientist,Casper,San Francisco,CA,http://indeed.com/rc/clk?jk=39d4ba9ea21137ff&fccid=34cc52740e2971c2
161,Statistician,Osu-Wexner-Medical-Center,Redmond,WA,http://indeed.com/rc/clk?jk=fe941ad3dfd47de1&fccid=1b402947d7217e0d
162,Data Scientist,Transdev,Tempe,AZ,http://indeed.com/rc/clk?jk=bada4aca56e3304a&fccid=781bfdf11ed47789
163,Data Scientist,Engility-Corp,Springfield,VA,http://indeed.com/rc/clk?jk=c0eb6a3e434fbb71&fccid=6ccb0eba9956b16a
164,Research Scientist-Data Sciences,Eli-Lilly,Cambridge,MA,http://indeed.com/rc/clk?jk=af2f7e9c2719d475&fccid=ac8d156b339793e6
165,Data Scientist,Twitter,San Francisco,CA,http://indeed.com/rc/clk?jk=ceb2b2dd3be27eab&fccid=7a3824693ee1074b
166,Data Scientist - Machine Learning Intern,Internet-Brands,Los Angeles,CA,http://indeed.com/rc/clk?jk=956f916bde7cd868&fccid=a01223d1f9a46c9e
167,Data Science Summer Intern,Motorola-Solutions,Chicago,IL,http://indeed.com/rc/clk?jk=7f61de925ecc3079&fccid=22ec6ef3cc441ac2
168,Data Engineer,Mount-Sinai-Health-System,New York,NY,http://indeed.com/company/Mount-Sinai-Health-System/jobs/Data-Engineer-4b97d8689824c23d?fccid=c007936ceb766fe5
169,Coop/Intern - Machine Learning Eng - Incubator-R&I,L'oreal-USA,Clark,NJ,http://indeed.com/rc/clk?jk=bfd658650a1e077f&fccid=362244bb2b7edf16
170,Data Scientist,NA,Remote,NA,http://indeed.com/rc/clk?jk=fd0237d2c94391c9&fccid=48c653885eb7edf7
171,Data Scientist,Uptake,Chicago,IL,http://indeed.com/rc/clk?jk=e9ff18400176276f&fccid=c7e4414dffeb89b5
172,HIM DOCUMENT IMAGING TECH - PRN - VARIED,Internet-Brands,Los Angeles,CA,http://indeed.com/rc/clk?jk=956f916bde7cd868&fccid=a01223d1f9a46c9e
173,Senior Data Scientist - Advanced Analytics,Syngenta,Minnetonka,MN,http://indeed.com/rc/clk?jk=7b709eea4b182fef&fccid=212d266bb52619f8
174,"Advisor, Data Science",NA,Santa Monica,CA,http://indeed.com/company/Retina.AI/jobs/Senior-Data-Scientist-145c2d9cd75d696a?fccid=e4ed750d0e4521e6
175,"Director, Data Science-R, Python, Strategy",Xentity-Corporation,Denver,CO,http://indeed.com/rc/clk?jk=512dba9ba4327d24&fccid=d7dee2b3330da2cc
176,Quantitative Research Analyst,NA,San Francisco,CA,http://indeed.com/company/Zaaxi-IT-and-Consultancy-Services/jobs/Senior-Data-Scientist-7b399de26688a887?fccid=9e9d61a487d75205
177,Machine Learning Engineer,Dell,Hopkinton,MA,http://indeed.com/rc/clk?jk=12d0acfc55e0c3e9&fccid=0918a251e6902f97
178,iOS Location Analytics Software Intern / Data Scientist Intern,Transdev,Tempe,AZ,http://indeed.com/rc/clk?jk=bada4aca56e3304a&fccid=781bfdf11ed47789
179,Data Scientist Analyst,Bnp-Paribas,San Ramon,CA,http://indeed.com/rc/clk?jk=98079239e9c595fa&fccid=1392500f835bba92
180,Data Analyst,Engility-Corp,Springfield,VA,http://indeed.com/rc/clk?jk=c0eb6a3e434fbb71&fccid=6ccb0eba9956b16a
181,Statistical Analyst,Twitter,San Francisco,CA,http://indeed.com/rc/clk?jk=ceb2b2dd3be27eab&fccid=7a3824693ee1074b
182,Machine Learning Engineer,NA,La Jolla,CA,http://indeed.com/rc/clk?jk=9f4983c0ce8cacbe&fccid=75be3d618a6c9e60
183,Cyberspace Data Scientist,Hdr,Omaha,NE,http://indeed.com/rc/clk?jk=9d2a1d6623e98521&fccid=c3725c584175877c
184,HPC Data Storage Administrator (Scientist 2/3),Wayup,New York,NY,http://indeed.com/rc/clk?jk=5da1dc8cc57b29ad&fccid=b9fc9e3aea40ccc0
185,Intern- Data Science,Wayup,New York,NY,http://indeed.com/rc/clk?jk=ca61af6bd2bc609f&fccid=b9fc9e3aea40ccc0
186,Machine Learning Engineer,Chef'd,El Segundo,CA,http://indeed.com/rc/clk?jk=4a4de1d42fc48721&fccid=32c4680cad80a260
187,Data Scientist,NA,Atlanta,GA,http://indeed.com/company/The-Experts-Bench/jobs/Statistician-8345a74562a616d3?fccid=bb3b7c50ae829db0
188,Junior Front-End Data Scientist,Mckinsey-&-Company,Waltham,MA,http://indeed.com/rc/clk?jk=e3c3fe6e3bc572ac&fccid=6576e7250aa78c3c
189,"Machine Learning - Engineer // Pennington, NJ // Full-Time",NA,Remote,NA,http://indeed.com/rc/clk?jk=8e38e86522490a50&fccid=a646d7ce6d93ff79
190,Statistician,Suntrust,Atlanta,GA,http://indeed.com/rc/clk?jk=b6b29821a0a84efb&fccid=131f8387a45b81d9
191,DATA SCIENTIST,The-Scripps-Research-Institute,San Diego,CA,http://indeed.com/rc/clk?jk=06a295df04bfc989&fccid=d4bca27c5f4c9dcb
192,QHSSE STATISTICAL ANALYST,Weatherford,New York,NY,http://indeed.com/rc/clk?jk=498e2beaff7aa36e&fccid=e764c38693822dfc
193,Statistician,Idaho-National-Laboratory,Washington,DC,http://indeed.com/rc/clk?jk=a35c300d843e5548&fccid=9c34e763def40969
194,Lead Statistical Analyst,NA,Township of Warren,NJ,http://indeed.com/rc/clk?jk=9ce78147aeafba98&fccid=75182658ee6a5a04
195,Statistician,Ucla-Health,Seattle,WA,http://indeed.com/rc/clk?jk=1381a3ebf71dbb75&fccid=74540dcd08f53d72
196,"Research Staff Member, AI Learning",IBM,Cambridge,MA,http://indeed.com/rc/clk?jk=edc072c44bd50f04&fccid=de71a49b535e21cb
197,"Scientist, Machine Learning",NA,Cambridge,MA,http://indeed.com/rc/clk?jk=e09c142121d07330&fccid=ec6af9d1eb7139ba
198,Data Scientist,Advantage-Sci,Pekin,IL,http://indeed.com/rc/clk?jk=72834b3fa3855a49&fccid=79418d497db53e12
199,STATISTICAL QUALITY ANALYST (MP00911),Fresenius-Kabi,McLean,VA,http://indeed.com/rc/clk?jk=25240124289facef&fccid=9b75c0730e8966da
200,Data Analyst (Temporary),American-Heart-Association,Cambridge,MA,http://indeed.com/rc/clk?jk=ea426813dc34f362&fccid=fb509292145a023d
201,Data Scientist,Chef'd,Morrisville,NC,http://indeed.com/rc/clk?jk=8825ea62564a7fde&fccid=32c4680cad80a260
202,Data Integration Analyst I,Children's-Hospital-of-Philadelphia,Philadelphia,PA,http://indeed.com/rc/clk?jk=10a3631c8c490628&fccid=7fed6c5b94b9c811
203,Epidemiologist/Data Scientist,Booz-Allen-Hamilton,Falls Church,VA,http://indeed.com/rc/clk?jk=32d90042a44c7f34&fccid=4e041af1d0af1bc8
204,Data Scientist,Jb-Hunt,Lowell,AR,http://indeed.com/rc/clk?jk=6746af7d88a91de2&fccid=a660817a30d4f882
205,Data Engineer,Match,New York,NY,http://indeed.com/rc/clk?jk=b9cc746ad962e6d2&fccid=982a3d755dfb00d5
206,Data Engineer,NA,New York,NY,http://indeed.com/rc/clk?jk=85da2f9ea52e1549&fccid=83c2b858789e9038
207,Statistical Programming Analyst I,Blue-Cross-Blue-Shield,Columbia,SC,http://indeed.com/rc/clk?jk=344a4722a6b81c6f&fccid=a4a8e7f5a8208024
208,Aviation Safety Data Scientist,Mitre-Corporation,McLean,VA,http://indeed.com/rc/clk?jk=087f3816a04ef1ce&fccid=fd03a1a845b02aae
209,Data Scientist,Brand-Networks,Rochester,NY,http://indeed.com/rc/clk?jk=cc4a7841253ff332&fccid=be2a48b31ce88228
210,Data Scientist,Nyc-Health-Hospitals,New York,NY,http://indeed.com/rc/clk?jk=77dfb0ee645f2808&fccid=8ba13cf21fd7c2de
211,Research Technician - Data (CeNCOOS),Monterey-Bay-Aquarium-Research-Institute,Moss Landing,CA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
212,Data Integration Analyst I,NA,Philadelphia,PA,http://indeed.com/rc/clk?jk=6e4f0f3e2be036be&fccid=0db8b0a95995d1f3
213,Epidemiologist/Data Scientist,Booz-Allen-Hamilton,Falls Church,VA,http://indeed.com/rc/clk?jk=bedf04c940214d6e&fccid=4e041af1d0af1bc8
214,Data Scientist,Nvidia,Lowell,AR,http://indeed.com/rc/clk?jk=1f7934764468b8b8&fccid=c267f29f0f85e8b8
215,Data Engineer,Monterey-Bay-Aquarium-Research-Institute,New York,NY,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
216,Data Engineer,McDonald's,New York,NY,http://indeed.com/rc/clk?jk=b9f046d035ecf5cd&fccid=f753bb1a40104d82
217,Statistical Programming Analyst I,Houston-Methodist,Columbia,SC,http://indeed.com/rc/clk?jk=5df22a7c12368a62&fccid=1fc7fdf0baeeb13b
218,Aviation Safety Data Scientist,NA,McLean,VA,"http://indeed.com/company/SMK-Soft,-Inc./jobs/Senior-Developer-7fd60a1e676013fc?fccid=66a0652cd379c60e"
219,Data Scientist,NA,Rochester,NY,http://indeed.com/rc/clk?jk=cacf3053dd9e42d0&fccid=4a9c289ea09906ad
220,Data Scientist,Arm,New York,NY,http://indeed.com/rc/clk?jk=91013cdd2cc66791&fccid=0110be8f148b4964
221,Research Technician - Data (CeNCOOS),University-of-Pennsylvania,Moss Landing,CA,http://indeed.com/rc/clk?jk=c08498d4afc67fe3&fccid=ebd944f3c244d667
222,"Research Scientist, Analytical",NA,Philadelphia,PA,http://indeed.com/rc/clk?jk=6e4f0f3e2be036be&fccid=0db8b0a95995d1f3
223,Geospatial Data Scientist,Booz-Allen-Hamilton,Falls Church,VA,http://indeed.com/rc/clk?jk=bedf04c940214d6e&fccid=4e041af1d0af1bc8
224,Research Scientist (Machine Learning),Nvidia,Lowell,AR,http://indeed.com/rc/clk?jk=1f7934764468b8b8&fccid=c267f29f0f85e8b8
225,Research Technician - Data (CeNCOOS),Monterey-Bay-Aquarium-Research-Institute,New York,NY,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
226,Data Quality Analyst - Global Data Plaform,McDonald's,New York,NY,http://indeed.com/rc/clk?jk=b9f046d035ecf5cd&fccid=f753bb1a40104d82
227,Data Scientist,Houston-Methodist,Columbia,SC,http://indeed.com/rc/clk?jk=5df22a7c12368a62&fccid=1fc7fdf0baeeb13b
228,Senior Developer/ Data Scientist,NA,McLean,VA,"http://indeed.com/company/SMK-Soft,-Inc./jobs/Senior-Developer-7fd60a1e676013fc?fccid=66a0652cd379c60e"
229,IoT Machine Learning Technologist,NA,Rochester,NY,http://indeed.com/rc/clk?jk=cacf3053dd9e42d0&fccid=4a9c289ea09906ad
230,IoT Machine Learning Technologist,Arm,New York,NY,http://indeed.com/rc/clk?jk=91013cdd2cc66791&fccid=0110be8f148b4964
231,STATISTICAL ANALYST A/B,University-of-Pennsylvania,Moss Landing,CA,http://indeed.com/rc/clk?jk=c08498d4afc67fe3&fccid=ebd944f3c244d667
232,"Research Scientist, Analytical",NA,San Diego,CA,http://indeed.com/rc/clk?jk=10a3631c8c490628&fccid=7fed6c5b94b9c811
233,Geospatial Data Scientist,Booz-Allen-Hamilton,Boston,MA,http://indeed.com/rc/clk?jk=32d90042a44c7f34&fccid=4e041af1d0af1bc8
234,Research Scientist (Machine Learning),Nvidia,Santa Clara,CA,http://indeed.com/rc/clk?jk=6746af7d88a91de2&fccid=a660817a30d4f882
235,Research Technician - Data (CeNCOOS),Monterey-Bay-Aquarium-Research-Institute,Moss Landing,CA,http://indeed.com/rc/clk?jk=b9cc746ad962e6d2&fccid=982a3d755dfb00d5
236,Data Quality Analyst - Global Data Plaform,McDonald's,Oak Brook,IL,http://indeed.com/rc/clk?jk=85da2f9ea52e1549&fccid=83c2b858789e9038
237,Data Scientist,Houston-Methodist,Houston,TX,http://indeed.com/rc/clk?jk=344a4722a6b81c6f&fccid=a4a8e7f5a8208024
238,Senior Developer/ Data Scientist,NA,Westchester,IL,http://indeed.com/rc/clk?jk=087f3816a04ef1ce&fccid=fd03a1a845b02aae
239,IoT Machine Learning Technologist,NA,San Jose,CA,http://indeed.com/rc/clk?jk=cc4a7841253ff332&fccid=be2a48b31ce88228
240,IoT Machine Learning Technologist,Arm,San Jose,CA,http://indeed.com/rc/clk?jk=77dfb0ee645f2808&fccid=8ba13cf21fd7c2de
241,STATISTICAL ANALYST A/B,University-of-Pennsylvania,Philadelphia,PA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
242,"Research Scientist, Analytical",Children's-Hospital-of-Philadelphia,San Diego,CA,http://indeed.com/rc/clk?jk=10a3631c8c490628&fccid=7fed6c5b94b9c811
243,Research Scientist (Machine Learning),Jb-Hunt,Santa Clara,CA,http://indeed.com/rc/clk?jk=6746af7d88a91de2&fccid=a660817a30d4f882
244,Research Technician - Data (CeNCOOS),Match,Moss Landing,CA,http://indeed.com/rc/clk?jk=b9cc746ad962e6d2&fccid=982a3d755dfb00d5
245,Data Quality Analyst - Global Data Plaform,NA,Oak Brook,IL,http://indeed.com/rc/clk?jk=85da2f9ea52e1549&fccid=83c2b858789e9038
246,Data Scientist,Blue-Cross-Blue-Shield,Houston,TX,http://indeed.com/rc/clk?jk=344a4722a6b81c6f&fccid=a4a8e7f5a8208024
247,Senior Developer/ Data Scientist,Mitre-Corporation,Westchester,IL,http://indeed.com/rc/clk?jk=087f3816a04ef1ce&fccid=fd03a1a845b02aae
248,IoT Machine Learning Technologist,Brand-Networks,San Jose,CA,http://indeed.com/rc/clk?jk=cc4a7841253ff332&fccid=be2a48b31ce88228
249,IoT Machine Learning Technologist,Nyc-Health-Hospitals,San Jose,CA,http://indeed.com/rc/clk?jk=77dfb0ee645f2808&fccid=8ba13cf21fd7c2de
250,STATISTICAL ANALYST A/B,Monterey-Bay-Aquarium-Research-Institute,Philadelphia,PA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
251,Data Integration Analyst I,NA,Philadelphia,PA,http://indeed.com/rc/clk?jk=10a3631c8c490628&fccid=7fed6c5b94b9c811
252,Data Scientist,Nvidia,Lowell,AR,http://indeed.com/rc/clk?jk=6746af7d88a91de2&fccid=a660817a30d4f882
253,Data Engineer,Monterey-Bay-Aquarium-Research-Institute,New York,NY,http://indeed.com/rc/clk?jk=b9cc746ad962e6d2&fccid=982a3d755dfb00d5
254,Data Engineer,McDonald's,New York,NY,http://indeed.com/rc/clk?jk=85da2f9ea52e1549&fccid=83c2b858789e9038
255,Statistical Programming Analyst I,Houston-Methodist,Columbia,SC,http://indeed.com/rc/clk?jk=344a4722a6b81c6f&fccid=a4a8e7f5a8208024
256,Aviation Safety Data Scientist,NA,McLean,VA,http://indeed.com/rc/clk?jk=087f3816a04ef1ce&fccid=fd03a1a845b02aae
257,Data Scientist,NA,Rochester,NY,http://indeed.com/rc/clk?jk=cc4a7841253ff332&fccid=be2a48b31ce88228
258,Data Scientist,Arm,New York,NY,http://indeed.com/rc/clk?jk=77dfb0ee645f2808&fccid=8ba13cf21fd7c2de
259,Research Technician - Data (CeNCOOS),University-of-Pennsylvania,Moss Landing,CA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
260,"Research Scientist, Analytical",Children's-Hospital-of-Philadelphia,Philadelphia,PA,http://indeed.com/rc/clk?jk=10a3631c8c490628&fccid=7fed6c5b94b9c811
261,Geospatial Data Scientist,Booz-Allen-Hamilton,Falls Church,VA,http://indeed.com/rc/clk?jk=32d90042a44c7f34&fccid=4e041af1d0af1bc8
262,Research Scientist (Machine Learning),Jb-Hunt,Lowell,AR,http://indeed.com/rc/clk?jk=6746af7d88a91de2&fccid=a660817a30d4f882
263,Research Technician - Data (CeNCOOS),Match,New York,NY,http://indeed.com/rc/clk?jk=b9cc746ad962e6d2&fccid=982a3d755dfb00d5
264,Data Quality Analyst - Global Data Plaform,NA,New York,NY,http://indeed.com/rc/clk?jk=85da2f9ea52e1549&fccid=83c2b858789e9038
265,Data Scientist,Blue-Cross-Blue-Shield,Columbia,SC,http://indeed.com/rc/clk?jk=344a4722a6b81c6f&fccid=a4a8e7f5a8208024
266,Senior Developer/ Data Scientist,Mitre-Corporation,McLean,VA,http://indeed.com/rc/clk?jk=087f3816a04ef1ce&fccid=fd03a1a845b02aae
267,IoT Machine Learning Technologist,Brand-Networks,Rochester,NY,http://indeed.com/rc/clk?jk=cc4a7841253ff332&fccid=be2a48b31ce88228
268,IoT Machine Learning Technologist,Nyc-Health-Hospitals,New York,NY,http://indeed.com/rc/clk?jk=77dfb0ee645f2808&fccid=8ba13cf21fd7c2de
269,STATISTICAL ANALYST A/B,Monterey-Bay-Aquarium-Research-Institute,Moss Landing,CA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
270,Data Integration Analyst I,NA,San Diego,CA,http://indeed.com/rc/clk?jk=6e4f0f3e2be036be&fccid=0db8b0a95995d1f3
271,Epidemiologist/Data Scientist,Booz-Allen-Hamilton,Boston,MA,http://indeed.com/rc/clk?jk=bedf04c940214d6e&fccid=4e041af1d0af1bc8
272,Data Scientist,Nvidia,Santa Clara,CA,http://indeed.com/rc/clk?jk=1f7934764468b8b8&fccid=c267f29f0f85e8b8
273,Data Engineer,Monterey-Bay-Aquarium-Research-Institute,Moss Landing,CA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
274,Data Engineer,McDonald's,Oak Brook,IL,http://indeed.com/rc/clk?jk=b9f046d035ecf5cd&fccid=f753bb1a40104d82
275,Statistical Programming Analyst I,Houston-Methodist,Houston,TX,http://indeed.com/rc/clk?jk=5df22a7c12368a62&fccid=1fc7fdf0baeeb13b
276,Aviation Safety Data Scientist,NA,Westchester,IL,"http://indeed.com/company/SMK-Soft,-Inc./jobs/Senior-Developer-7fd60a1e676013fc?fccid=66a0652cd379c60e"
277,Data Scientist,NA,San Jose,CA,http://indeed.com/rc/clk?jk=cacf3053dd9e42d0&fccid=4a9c289ea09906ad
278,Data Scientist,Arm,San Jose,CA,http://indeed.com/rc/clk?jk=91013cdd2cc66791&fccid=0110be8f148b4964
279,Research Technician - Data (CeNCOOS),University-of-Pennsylvania,Philadelphia,PA,http://indeed.com/rc/clk?jk=c08498d4afc67fe3&fccid=ebd944f3c244d667
280,Data Integration Analyst I,Children's-Hospital-of-Philadelphia,San Diego,CA,http://indeed.com/rc/clk?jk=6e4f0f3e2be036be&fccid=0db8b0a95995d1f3
281,Data Scientist,Jb-Hunt,Santa Clara,CA,http://indeed.com/rc/clk?jk=1f7934764468b8b8&fccid=c267f29f0f85e8b8
282,Data Engineer,Match,Moss Landing,CA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
283,Data Engineer,NA,Oak Brook,IL,http://indeed.com/rc/clk?jk=b9f046d035ecf5cd&fccid=f753bb1a40104d82
284,Statistical Programming Analyst I,Blue-Cross-Blue-Shield,Houston,TX,http://indeed.com/rc/clk?jk=5df22a7c12368a62&fccid=1fc7fdf0baeeb13b
285,Aviation Safety Data Scientist,Mitre-Corporation,Westchester,IL,"http://indeed.com/company/SMK-Soft,-Inc./jobs/Senior-Developer-7fd60a1e676013fc?fccid=66a0652cd379c60e"
286,Data Scientist,Brand-Networks,San Jose,CA,http://indeed.com/rc/clk?jk=cacf3053dd9e42d0&fccid=4a9c289ea09906ad
287,Data Scientist,Nyc-Health-Hospitals,San Jose,CA,http://indeed.com/rc/clk?jk=91013cdd2cc66791&fccid=0110be8f148b4964
288,Research Technician - Data (CeNCOOS),Monterey-Bay-Aquarium-Research-Institute,Philadelphia,PA,http://indeed.com/rc/clk?jk=c08498d4afc67fe3&fccid=ebd944f3c244d667
289,Data Integration Analyst I,Children's-Hospital-of-Philadelphia,San Diego,CA,http://indeed.com/rc/clk?jk=10a3631c8c490628&fccid=7fed6c5b94b9c811
290,Epidemiologist/Data Scientist,Booz-Allen-Hamilton,Boston,MA,http://indeed.com/rc/clk?jk=32d90042a44c7f34&fccid=4e041af1d0af1bc8
